job title,company name,date,location,skills
Results-Oriented Digital Marketing Specialist,AboZahra Developments -,2 hours ago,"Alexandria, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · females_only · Marketing/PR/Advertising · Digital Marketing · E-Marketing · Branding · Creative · Marketing · Microsoft Office · SEO · Social Media · Real Estate
Digital Marketing Expert,Speedaf Express Egypt -,7 days ago,"Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Online Marketing · Marketing · Content · E-Marketing · media · SEO
Marketing Specialist,Nugttah -,2 days ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · Marketing/PR/Advertising · Digital Marketing · E-Marketing · Marketing · Marketing Campaigns
Digital Marketing Specialist,el helow -,1 month ago,"10th of Ramadan City, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital · Digital Marketing · Digital Marketing Specialist · E-Marketing · Marketing · marketing specialist · Social Media
Digital Marketing Specialist (Results-Oriented),AboZahra Developments -,1 month ago,"Alexandria, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · females_only · Marketing/PR/Advertising · Digital Marketing · E-Marketing · Branding · Digital · Social Media · social · Marketing · Creative · Microsoft Office
Senior Digital Marketer,ATRIC Developments -,19 days ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Digital · Digital Marketing · E-Marketing · Marketing · Real Estate · Social Media · Experience
Marketing and social media specialist,A-Squared -,10 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Marketing/PR/Advertising · Digital Marketing · E-Marketing · media · Social Media · Marketing
Marketing Specialist,Elbadry Auto -,8 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Leads · Marketing · media · Digital campaigns · Digital Advertising · E-Marketing · Communication · Creative
Senior Marketing Specialist,FlairsTech -,20 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Marketing/PR/Advertising · Business Development · Digital
Digital Support Specialist (Males Only) -(Hybrid),almentor -,1 month ago,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · males_only · Customer Service/Support · Communication · Communication skills · CRM · Customer Support · Digital Marketing · Help desk · English · Marketing · media
Digital Marketing Specialist,Stitch Trade -,12 days ago,"Sheikh Zayed, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Marketing · Social Media · E-Marketing · English · Arabic · ROI · SEO
Marketing Specialist,EBE-T -,12 days ago,"Dokki, Giza, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Marketing · E-Marketing · Communication · Communication skills · Social Media · digital media · Digital
Marketing Specialist,3Brothers -,12 days ago,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Communication · Communication skills · Content · Digital Marketing · E-Marketing · Market Research · English · SEO
Marketing Head,RAYA Auto -,13 days ago,"Cairo, Egypt ",Full TimeSenior Management · 10 - 12 Yrs of Exp · Operations/Management · Marketing/PR/Advertising · Automotive · Marketing · Advertising · Social Media · Communication · Digital · Market Research · media
Marketing Specialist,Dealtio -,16 days ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · campaigns · Google Adwords · Creative · Digital · Digital Marketing · E-Marketing · Social Media
Sales & Marketing Export Executive,Al Anwaar Stone For Marble & Granite -,25 days ago,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 7 Yrs of Exp · Business Development · Sales/Retail · Marketing · Sales · sales skills · Digital Marketing · Communication · Communication skills · Management · English
Digital Sales Specialist,Diturn -,1 month ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Sales · Sales Target · Sales Planning · Digital Marketing · sales skills · CRM · Marketing
Digital Marketing Executive,Conquer properties -,3 days ago,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Real Estate · Sales · Advisor · Sales Target · English · Sales Skills · Computer Skills
Marketing Department,AGG Information Technology  -,18 days ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Analyst/Research · Social Media · Video Editing · Marketing · Social Media Moderator · Digital Marketing · Lead Generation and Research Specialist · Graphic Designer
Digital Marketing Manager,Creator -,1 month ago,"Sheikh Zayed, Giza, Egypt ",Full TimeManager · 5 - 10 Yrs of Exp · Marketing/PR/Advertising · E-Marketing · Digital Marketing · Google Adwords · Google Analytics · Marketing · Digital · Advertising · SEO · SEM
Digital Marketing Manager,Confidential -,1 month ago,"Giza, Egypt ",Full TimeManager · 10+ Yrs of Exp · Marketing/PR/Advertising · Advertising · Communication · SEM · SEO · Social Media · Marketing · Google Adwords · E-Marketing · Digital Marketing
Creative Marketing Writer,El-Okaby Pharmacies -,16 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Creative Marketing · Creative · Marketing · media · Social Media · writer · Writing
Senior Marketing Executive,New Plan  -,19 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Market Research · Presentation · Communication · Marketing · English · Real Estate · Digital Marketing · Social Media
Marketing Administrator,Hands of Hope Physical Therapy & Wellness -,18 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Communication skills · English · Marketing · Editing · WordPress · Digital Printing · Creative · Social Media
Digital Marketing Manager,Confidential -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeManager · 8 - 10 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Communication · Advertising · Marketing Campaigns · Digital Marketing · E-Marketing · Social Media · SEO · Marketing
Marketing Specialist,Intersport -,19 days ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Marketing · Communication · Online Marketing · Digital Marketing · Offline Marketing · Social Media · Social Media Strategy
Marketing Specialist,Pharmascienta - Nefertari Body Care -,19 days ago,"Zamalek, Cairo, Egypt ",Full TimeExperienced · 7 - 10 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · marketing · advertising · pr · Social Media · Digital Marketing
Marketing Specialist,Confidential -,25 days ago,"Haram, Giza, Egypt ",Part TimeFreelance / ProjectWork From HomeExperienced · 0 - 6 Yrs of Exp · Marketing/PR/Advertising · Markerting · Specialist · Research · Planning · Digital Marketing · Managment · Online Marketing · Web Marketing · Marketing Research
Commercial Medico-Marketing Executive - Hurghada,Caduceus Lane -,24 days ago,"Hurghada, Red Sea, Egypt ",Full TimeExperienced · 8 - 10 Yrs of Exp · Business Development · Marketing/PR/Advertising · Commercial · English · Market Research · Microsoft Office · sales skills · Skills · Sales · Marketing
Digital Media Strategist,Sarmady -,1 month ago,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · E-marketing · Social Media · SEO · Digital Media · Digital Marketing · Advertising · KPIs
Marketing Supervisor,EGY TRADE -,25 days ago,"Moharam Bek, Alexandria, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Leadership · Manufacturing · Market Research · Sales · Marketing · Social Media · SQL
Marketing Intern,Family Corporation -,24 days ago,"Cairo, Egypt ",InternshipEntry Level · Marketing/PR/Advertising · Communication · Content Management · Digital Marketing · English · Market Research · Marketing · Social Media
Performance Marketing Officer,Global Academic Foundation Hosting University of Hertfordshire UH -,26 days ago,"New Capital, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · E-Marketing · Marketing · Planning · Reporting · Social Media
Digital Marketing Expert,Innovative technologies -,2 months ago,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · E-Marketing · CSS · HTML · JavaScript · Social Media · Educational
Digital Marketer,Madar plus -,1 month ago,"Obour City, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Marketing/PR/Advertising · Marketing · Creative · Digital Marketing · SEO · SEM · Google Analytics · Google Ads · Media Buyer · WordPress
SEO Marketing Specialist,Engosoft -,28 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Marketing/PR/Advertising · Education/Teaching · Training/Instructor · SEO · E-Marketing · English · Google Analytics · Marketing · Web Analytics · CSS
Marketing Manager,Speed Tech -,1 month ago,"Abdeen, Cairo, Egypt ",Full TimeManager · 5 - 8 Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · business · Sales · Marketing · Digital Marketing · Market Research · Marketing Diploma
2D Designer & Digital Printing Officer,Scope IMS -,2 months ago,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 5 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Graphic Design · Design · AutoCAD · Adobe Photoshop · 2D · Adobe illustrator · 3D
Digital Marketing Manager,Centro CDX -,1 month ago,"Maadi, Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Media/Journalism/Publishing · Advertising · Analytics · Communication · Creative · Digital · Digital Marketing · E-Marketing
Outdoor Sales & Marketing Specialist,BigBee.eg -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimePart TimeWork From HomeEntry Level · Customer Service/Support · Marketing/PR/Advertising · Sales/Retail · Sales · Outdoor Sales · Marketing · Marketing Research · Sales Field · Sales Target · Indoor Sales
Digital Marketing specialist,Confidential -,2 months ago,"Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Digital · Ads · Digital Advertising · E-Marketing · google · Social Media · Digital Marketing · Advertising
Senior Digital Marketing Specialist,Ultimate Solutions Egypt -,2 months ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Social Media · Digital Marketing Specialist · Marketing · E-Marketing · Digital Marketing · Digital · campaigns · Ads · facebook
